,0,1,2,3
0,80121170,Save the Children,Save the Children,
1,80124101,Shing - LI Ka,Li Ka Shing Foundation,
2,80066325,Ford Foundation,Ford Foundation,
3,80078753,Howard Hughes Medical Institute,Howard Hughes Medical Institute,
4,80084243,The J. Paul Getty Trust,J. Paul Getty Trust,
5,80088383,Kresge Foundation,The Kresge Foundation,
6,80093532,Li - Ka Shing,Li Ka Shing Foundation,
7,80118041,The Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,
8,80118042,Robert Wood Johnson University Hospital,Robert Wood Johnson Foundation,
9,80118044,Robert Wood & Algar Wood,Robert Wood Johnson Foundation,
10,80132138,The Duke Endowment,The Duke Endowment,"Charlotte, NC, United States"
11,80132353,The Kresge Foundation,The Kresge Foundation,
12,80132633,The Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,
13,80145944,World Vision International,World Vision International,
14,80060918,Jersey Society for the Prevention of Cruelty to Animals,Royal Society for the Prevention of Cruelty to Animals,
15,80061102,Royal Society for the Prevention of Cruelty to Animals,Royal Society for the Prevention of Cruelty to Animals,
16,80061215,British Red Cross,American Red Cross,"Washington, D.C., U.S."
17,80080733,International Red Cross,American Red Cross,"Washington, D.C., U.S."
18,80081153,INTERNATIONAL RED CROSS,American Red Cross,"Washington, D.C., U.S."
19,80081281,International Red Cross,American Red Cross,"Washington, D.C., U.S."
20,80104536,Manx Society for Prevention of Cruelty to Animals (MSPCA),Royal Society for the Prevention of Cruelty to Animals,
21,80120531,THE SALVATION ARMY,The Salvation Army,
22,80132671,The Salvation Army,The Salvation Army,
23,80134988,International Red Cross,American Red Cross,"Washington, D.C., U.S."
24,80138587,UNICEF,UNICEF,"New York, USA"
25,56006047,SOCIETY OF LADIES OF CHARITY OF ST. VINCENT DE PAULE,Society of Saint Vincent de Paul,
26,56015006,LIBRA PRIVATE FOUNDATION,Libra Foundation,
27,56040661,THE BUSH FOUNDATION,Bush Foundation,"Saint Paul, MN, United States"
28,56095879,ROBERT BOSCH GMBH,Robert Bosch Stiftung,
29,80121170,Save the Children,Save the Children,
30,80121170,Save the Children,Save the Children International,
31,80145944,World Vision International,World Vision International,
32,80145944,World Vision International,World Vision International,
33,80060585,Amnesty International,Amnesty International,"London, WC1United Kingdom"
34,80135846,Amnesty International,Amnesty International,"London, WC1United Kingdom"
35,80121170,Save the Children,Save the Children Federation,"Fairfield, Connecticut"
36,80038331,Memorial Sloan-Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,"New York, New York"
37,80071000,Goodwill Industries Captive,Goodwill Industries International,"Rockville, Maryland"
38,80099546,Mayo Clinic,Mayo Clinic,"Rochester, Minnesota"
39,80101193,Memorial Sloan-Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,"New York, New York"
40,80132469,The Nature Conservancy,Nature Conservancy,"Arlington, Virginia"
41,80132639,The Rotary Foundation of Rotary International,Rotary Foundation of Rotary International,"Evanston, Illinois"
42,80145944,World Vision International,World Vision,"Federal Way, Washington"
43,80147832,Young Life,Young Life,"Colorado Springs, Colorado"
44,80029474,American Cancer Society,American Cancer Society,"Atlanta, Georgia"
45,80044242,CANCER SOCIETY,American Cancer Society,"Atlanta, Georgia"
46,80120531,THE SALVATION ARMY,Salvation Army,"Alexandria, Virginia"
47,80126915,SPCA,American SPCA,"New York, New York"
48,80132439,The Metropolitan Museum of Art,Metropolitan Museum of Art,"New York, New York"
49,80132671,The Salvation Army,Salvation Army,"Alexandria, Virginia"
50,80132916,The World Wildlife Fund,World Wildlife Fund,"Washington, District of Columbia"
51,80145911,WORLD WILDLIFE FUND,World Wildlife Fund,"Washington, District of Columbia"
